LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE SECURED. WE HAVE ENTERED THE BUILDING. LOOKS EMPTY. OVER.",alpha
STRM_Rcallext,"ALPHA TO BRAVO. READY FOR EXTRACTION. OVER.",alpha
STRM_Rambush,"ALPHA TO PAPA BEAR. WE MIGHT HAVE A SITUATION HERE, REQUESTING CAS TO OUR OBJECTIVE. OVER.",alpha

STRM_Rlzinsight,"BRAVO TO ALPHA. LANDING ZONE IN SIGHT. GET READY. OVER.",alpha
STRM_Rramp,"RAMP IS OPEN.",alpha
STRM_Rgogogo,"GO GO GO.",alpha
STRM_Rhome,"GOOD LUCK BOYS. GO GET 'EM. OVER.",alpha
STRM_Rextract,"BRAVO TO ALPHA. READY FOR EXTRACTION. MOVE IT. OVER.",bravo
STRM_Rdustoff,"LIFTOFF. WE ARE GOING HOME.",bravo
STRM_Ronourway,"ROGER THAT ALPHA. WE ARE ON OUR WAY. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. ROGER THAT WE ARE SENDING YOU GUNSHIP SUPPORT. HOLD TIGHT AND DONT CALL THE EXTRACT BIRD TO A HOT LZ. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME HOME TEAM. OVER.",hq

STRD_Rmissname,"PMC Ranger Data",missionname
STRL_Rload,"Prepping for data gathering mission...",loadname
