LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Papa Bear, Alpha Black here. We are grinding the enemy down and have captured Dearsum. Over.",alpha
STRM_Reastdead2,"Alpha to Papa Bear. We've captured the smoking wreckage of the airbase. At least the runway is intact. Over.",alpha
STRM_Rammo,"Papabear, this is Alpha. We've discovered what appears to be captured US weapons in a Red storage area in one of the Airbase hangars. Over.",alpha

STRM_Rhqammo,"Roger that, Alpha. Take what you need and leave the rest for our logistics group. Papabear out.",hq
STRM_Rhqreply1,"Roger that, Alpha. Make sure your men are kept topped off with ammo. Papa Bear out.",hq
STRM_Rhqreply2,"Alpha. Papa Bear here. Ten-to-one odds paid off. Not that we were actually betting real money. Good work. out.",hq
STRM_Rmcomplete,"Alpha, your mission is accomplished. Papa Bear out.",hq

STRD_Rmissname,"Condition Red",missionname/H13
STRL_Rload,"McKenzie, Regular, at Alverna.",loadname

start marker name string
STR_START,Start

target marker name strings
STR_TARGET1,Clear Dearsum
STR_TARGET2,Capture Airbase
