LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rjoin,"ALPHA BLACK TO PAPA BEAR. WE HAVE LOCATED THE PACKAGE. OVER.",alpha
STRM_Rcallext,"ALPHA TO PAPA BEAR. READY FOR EXTRACTION. OVER.",alpha

STRM_Rlzinsight,"CHARLIE BLACK TO ALPHA BLACK. LANDING ZONE IN SIGHT, GET READY. OVER.",charlie
STRM_Rramp,"RAMP IS OPEN.",charlie
STRM_Rgogogo,"GO GO GO.",charlie
STRM_Rhome,"GOOD LUCK ALPHA. BRING THEM HOME. CHARLIE OUT.",charlie
STRM_Rextract,"CHARLIE TO ALPHA. GET READY FOR EXTRACTION. OVER.",charlie
STRM_Rdustoff,"LIFTOFF.",charlie
STRM_Rcoming,"CHARLIE TO ALPHA. COPY THAT. WE ARE ON OUR WAY. OVER.",charlie

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. BLOW THE HELO UP AND HEAD TO THE EXTRACT LOCATION. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK HOME. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"PMC Ranger Pilots",missionname
STRL_Rload,"Prepping for SAR mission...",loadname
