LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"1-1-A to HQ. We have secured Chantico. Over.",a1
STRM_Reastdead2,"1-1-A to HQ. Balmopan captured. Over.",a1
STRM_Rreinfdead,"1-1-A to HQ. Enemy reinforcements have been neutralized. Over.",a1

STRM_Rassault,"We are assaulting Balmopa now, Over.",a2

STRM_Rhqreply1,"HQ to 1-1-A. Understood. Over.",hq
STRM_Rhqreply2,"HQ to 1-1-A. Roger that. Over.",hq
STRM_Rreinfonway,"HQ to 1-1-1A. Lookouts report enemy reinforcements heading in from N, NE. Stay alert. Over.",hq
STRM_Rmcomplete,"HQ to 1-1-A. Mission accomplished. HQ out.",hq

STRD_Rmissname,"PMC Enchant",missionname
STRL_Rload,"Chanted Chantico",loadname

start marker name string
STR_START,Start

target marker name strings
STR_TARGET1,Capture Chantico
STR_TARGET2,Capture Balmopan
