LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. MORTON CLEARED. OVER.",alpha
STRM_Rassault,"ALL TEAMS. ASSAULT THE TOWN. GO GO GO. OVER.",alpha
STRM_Rcallext,"ALPHA BLACK TO HOTEL BLACK. READY FOR EXTRACTION. OVER.",alpha

STRM_Rlzinsight,"HOTEL TO ALPHA. INSERTION LZ IN SIGHT. GET READY. OVER.",alpha
STRM_Rramp,"RAMP IS OPEN.",alpha
STRM_Rgogogo,"GO GO GO.",alpha
STRM_Rhome,"GOOD LUCK ALPHA. OVER.",alpha
STRM_Rextract,"HOTEL TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo
STRM_Rdustoff,"LIFTOFF.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. NOW GET OUT OF THERE. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME HOME. OVER.",hq

STRD_Rmissname,"PMC Ranger Morning",missionname
STRL_Rload,"At first light in field base...",loadname
