LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE CLEARED AND SECURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. ENEMY COUNTER ATTACK REPELLED. OVER.",alpha
STRM_Rdefendme,"ALPHA TO PAPA BEAR. UNDERSTOOD. WE'LL DIG IN. OVER.",alpha
STRM_Rholdfire,"ALPHA BLACK ACKNOWLEDGES. HOLDING FIRE DUE WEST OF OUR POSITION. OVER.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OVER.",hq
STRM_Rhqalarm,"PAPA BEAR TO ALPHA BLACK. WE ARE PICKING UP SOME ENEMY MOVEMENT NE FROM YOUR POSITION. BE PREPARED TO DEFEND YOURSELF. OVER.",hq
STRM_Rhqalarm2,"I'M SENDING YOU SOME SUPPORT, THEY WILL COME FROM WEST, HOLD YOUR FIRE DUE WEST. PAPA BEAR OUT.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD, GOOD WORK. OUT.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. MISSION IS ACCOMPLISHED. OUT.",hq

STRD_Rmissname,"PMC Clashes",missionname
STRL_Rload,"Run down the hill",loadname

start marker name string
STR_START,Start

target marker name strings
STR_TARGET1,Capture Ruins
