LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. BASE HAS BEEN SECURED, SEND IN THE REINFORCEMENTS. OVER.",alpha

STRM_Rgoahead,"THIS IS BRAVO BLACK. WE ARE ON THE OBJECTIVE AND SETTING UP A BASE. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. REINFORCEMENTS ON WAY. HOLD TIGHT. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. GOOD WORK. YOUR MISSION IS ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"PMC Ranger Baseblast",missionname
STRL_Rload,"Taking enemy base",loadname
