LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. ENEMY ATTACK REPELLED. OVER.",alpha

STRM_Rinsert,"BRAVO TO ALPHA. INSERTION LZ IN SIGHT, GET READY. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA BLACK. BRAVO OUT.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo
STRM_Rdustoff,"LIFTOFF. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OUT.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. MISSION IS ACCOMPLISHED. OUT.",hq

STRD_Rmissname,"PMC Beast",missionname
STRL_Rload,"Dead of night",loadname

start marker name string
STR_START,Start
