LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Papa Bear, Alpha Black here. We've taken the town of Vaals. Over.",alpha
STRM_Reastdead2,"Papa Bear, do you read? This is Alpha One. Enemy field headquarters is clear. All personnel terminated. With extreme prejudice. Over.",alpha
STRM_Reastdead3,"Alpha Black to Papa Bear. Ammo Cache destroyed. It's still on fire. Over.",alpha
STRM_Reastdead4,"Alpha to Papa. The town of Acquoy is under NATO control. Alpha out.",alpha
STRM_Rsendreinf,"Papa Bear, this is Alpha One. There's been a sharp fight at Vaals. Send us reinforcements and ammo, otherwise we're probably not going to keep it. Over.",alpha

STRM_Rhqreply5,"Alpha. Who's your daddy. Wilco, we're dispatching some backup to your location. Hold in place. Over.",hq
STRM_Rhqreply1,"Alpha One, read you well. Nice work. Papa Bear out.",hq
STRM_Rhqreply2,"Papa Bear to Alpha One. We copy you. Good work. Out.",hq
STRM_Rhqreply3,"Papa to Alpha One. Roger that, Alpha. Watch out for reaction squads coming to your position. Out.",hq
STRM_Rhqreply4,"Alpha, this is Papa Bear. Received and understood. Good job. Out.",hq
STRM_Rmcomplete,"Alpha, congratulations on your safe return. Your mission is accomplished. Papa Bear out.",hq

STRD_Rmissname,"Shallow Grave",missionname/H11
STRL_Rload,"McKenzie, Regular, at US Army Base.",loadname

start marker name string
STR_START,Start

target marker name strings
STR_TARGET1,Capture Vaals
STR_TARGET2,Clear Field HQ
STR_TARGET3,Destroy Ammo Cache
STR_TARGET4,Capture Acquoy
