LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE CLEARED AND SECURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE HAVE SECURED SECOND OBJECTIVE. OVER.",alpha
STRM_Reastdead3,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE THREE CLEARED AND SECURED. OVER.",alpha
STRM_Reastdead4,"ALPHA TO PAPA BEAR. WE HAVE SECURED FOUR OBJECTIVE. OVER.",alpha
STRM_Rmeetus,"ALPHA TO CHARLIE. WE ARE IN POSITION AND WAITING. OVER.",alpha

STRM_Rcharliego,"CHARLIE TO ALPHA. ROGER THAT. ON OUR WAY. OVER.",charlie
STRM_Rgetsome,"CHARLIE TO ALPHA. OKAY GUYS, LETS GO GET SOME. OVER.",charlie

STRM_Rinsert,"BRAVO TO ALPHA. INSERTION LZ IN SIGHT, GET READY. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA BLACK. BRAVO OUT.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR PICKUP. OVER.",bravo
STRM_Rdustoff,"LIFTOFF. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OUT.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD, GOOD WORK. OUT.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OUT.",hq
STRM_Rhqreply4,"PAPA BEAR TO ALPHA. UNDERSTOOD, GOOD WORK. OUT.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. MISSION IS ACCOMPLISHED. OUT.",hq

STRD_Rmissname,"PMC Rockyroad",missionname
STRL_Rload,"Long road",loadname

start marker name string
STR_START,Start
STR_PICKUP,Pickup
STR_LZ,LZ
STR_MEET,Meet Charlie

target marker name strings
STR_TARGET1,Capture Opatov
STR_TARGET2,Capture village
STR_TARGET3,Capture Dolina
STR_TARGET4,Capture Mokropsy
