LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE CLEARED AND SECURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE HAVE SECURED SECOND OBJECTIVE. OVER.",alpha

STRM_Rassault,"ALPHA BLACK TO CHARLIE AND DELTA. ASSAULT IS GO. MOVE OUT. OVER.",alpha
STRM_Rcharliego,"CHARLIE TO ALPHA. UNDERSTOOD. COMMENCING. OVER.",charlie
STRM_Rdeltago,"CHARLIE TO ALPHA. COPY. GOING TO GET SOME. OVER.",delta

STRM_Rinsert,"BRAVO TO ALPHA. INSERTION LZ IN SIGHT, GET READY. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA BLACK. BRAVO OUT.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR PICKUP. OVER.",bravo
STRM_Rdustoff,"LIFTOFF. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OUT.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD, GOOD WORK. OUT.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. MISSION IS ACCOMPLISHED. OUT.",hq

STRD_Rmissname,"PMC Holytown",missionname
STRL_Rload,"Time to fly",loadname

start marker name string
STR_START,Start
STR_PICKUP,Pickup
STR_LZ,LZ
STR_FUP,FUP

target marker name strings
STR_TARGET1,Capture intersection
STR_TARGET2,Capture Modrava
