LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. LA RIVIERE ASSAULTED. SETTING DEMOLITIONS. OVER.",alpha
STRM_Rcallext,"ALPHA TO PAPA BEAR. READY FOR EXTRACTION. SEND IN THE CHOPPER. OVER.",alpha

STRM_Rlzinsight,"BRAVO TO ALPHA. LZ IN SIGHT. GET READY FOR INSERTION. OVER.",alpha
STRM_Rramp,"RAMP IS OPEN.",alpha
STRM_Rgogogo,"GO GO GO.",alpha
STRM_Rhome,"GOOD LUCK ALPHA. GO GET 'EM. OVER.",alpha
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo
STRM_Rdustoff,"DUSTOFF.",bravo
STRM_Rcoming,"BRAVO TO ALPHA. ROGER THAT. ON OUR WAY. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. USE CAUTION. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. GOOD JOB TEAM. MISSION ACCOMPLISHED. OVER.",alpha

STRD_Rmissname,"PMC Ranger Bait",missionname
STRL_Rload,"At US Airbase...",loadname
