LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Alpha One to Papa Bear. Zalne is cleared of Red defenders. Over.",alpha
STRM_Reastdead2,"Papa Bear, this is Alpha Black. Boxtel has fallen. Over.",alpha
STRM_Rcallext,"Bravo, Bravo, are you out there? Team Alpha, requesting extract. Over.",alpha

STRM_Rlzinsight,"Pilot speaking. Make sure your tray table is safely stored in the upright and locked position. LZ just ahead. Bravo out.",bravo
STRM_Rcoming,"This is Bravo. Copy you Alpha, we're coming in fast and low. Air Cav, at your service. Out.",bravo
STRM_Rextract,"Air Bravo here, we're on top of you, get your butts in the chopper as soon as it touches. Over.",bravo
STRM_Rliftoff,"Waa-hoo! Let's blow this popsicle stand. Air Bravo, going home. Out.",bravo

STRM_Rhqreply1,"Roger that, Alpha. Objective One is complete. Papa Bear out.",hq
STRM_Rhqreply2,"Understood, Alpha One. Objective Two complete. Good work. Papa Bear out.",hq
STRM_Rmcomplete,"Papa Bear here. Welcome home, Alpha team. Mission accomplished, and then some. Out.",hq

STRD_Rmissname,"DEFCON Zero",missionname
STRL_Rload,"Gross, Ranger, at Ummanz Airbase.",loadname

start marker name string
STR_START,Start
STR_INSERT,Insert LZ
STR_EXTRACT,Extract LZ

target marker name strings
STR_TARGET1,Capture Zalne
STR_TARGET2,Capture Boxtel
