LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Alpha Black calling Papa Bear. We have cleared the refuel site and destroyed all equipment. Over.",alpha
STRM_Reastdead2,"Papa Bear, Alpha here. The farmers were apparently executed by the Reds. We found what looks like intel on a dead Red.",alpha
STRM_Rcallext,"Alpha calling helo team Bravo. Requesting extraction at Haanslo Farm. Over.",alpha

STRM_Rlzinsight,"Bravo to Alpha. We have the LZ in sight. Get ready for insert by fast roping. Bravo out.",bravo
STRM_Rcoming,"This is Bravo. Copy that, Alpha. On our way. Out.",bravo
STRM_Rextract,"Bravo to Alpha, we're overhead. Get ready for extraction. Over.",bravo
STRM_Rliftoff,"Liftoff. Papa Bear, Alpha, this is Bravo. The eagle has soared. Going home. Out.",bravo

STRM_Rhqreply1,"Papa Bear here. Nice Work, Alpha.",hq
STRM_Rhqreply2,"Understood, Alpha. Check for survivors and bring that intel back to us. Papa Bear out.",hq
STRM_Rmcomplete,"Papa Bear to Alpha team. Welcome back. Your mission is complete. Out.",hq

STRD_Rmissname,"Ranger Path",missionname/H7
STRL_Rload,"Gross, Ranger, off SW Marum.",loadname

start marker name string
STR_START,Start
STR_INSERT,Insert LZ
STR_EXTRACT,Extract LZ

target marker name strings
STR_TARGET1,Eliminate refuel depot
STR_TARGET2,Talk to farmers
