LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Alpha Black to Papa Bear. Enemy units at Charlois are totally neutralized. Over.",alpha
STRM_Reastdead2,"Papa Bear, this is Alpha Black. The vehicles at Objective Two are burning and destroyed. Over.",alpha
STRM_Reastdead3,"Papa Bear, Papa Bear, this is Alpha One. The tank laagers at the third objective site are destroyed. Over.",alpha
STRM_Reastdead4,"Alpha to Papa Bear. The vehicles north of Beckum are burning wrecks. Over.",alpha
STRM_Ratbase1,"Alpha Black to HQ. Be advised, we've returned to base and are standing down. Alpha out.",alpha

STRM_Rhqreply1,"We copy you loud and clear, Alpha One. We confirm, Charlois is clear. This is Papa Bear, signing off.",hq
STRM_Rhqreply2,"Roger that, Alpha. Good job out there. Stay on top of them. HQ out.",hq
STRM_Rhqreply3,"Papa Bear to Alpha. Roger that. Objective three cleared. Out.",hq
STRM_Rhqreply4,"Papa Bear calling Alpha One. Understood. Objective Four is clear. Out.",hq
STRM_Rmcomplete,"Affirmative, Alpha Black. Your mission is done. Nice flying. Papa Bear out.",hq

STRD_Rmissname,"Green Blades",missionname/H16
STRL_Rload,"Walton, AH-64, at Ummanz Airbase.",loadname

start marker name string
STR_START,Start

target marker name strings
STR_TARGET1,Destroy Vehicles 1
STR_TARGET2,Destroy Vehicles 2
STR_TARGET3,Destroy Vehicles 3
STR_TARGET4,Destroy Vehicles 4
