LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. TARGET NEUTRALIZED, I REPEAT TARGET NEUTRALIZED. OVER.",alpha
STRM_Rcallext,"ALPHA TO BRAVO. READY FOR EXTRACTION. OVER.",alpha

STRM_Rlzinsight,"BRAVO TO ALPHA. LANDING ZONE IN SIGHT GET READY. OVER.",alpha
STRM_Rramp,"RAMP IS OPEN.",alpha
STRM_Rgogogo,"GO GO GO.",alpha
STRM_Rhome,"GOOD LUCK ALPHA. BRAVO OUT.",alpha
STRM_Rextract,"ALPHA BLACK THIS IS BRAVO. GET READY FOR EXTRACTION. OVER.",bravo
STRM_Rdustoff,"DUSTOFF.",bravo

STRM_Rgotoext,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. GET TO THE EXTRACT SITE. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME HOME. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"PMC Ranger Decapitate",missionname
STRL_Rload,"In the morning...",loadname
