LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. WE HAVE SECURED OBJECTIVE ONE. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. OBJECTIVE TWO CLEARED. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. WE HAVE CLEARED OBJECTIVE THREE. OVER.",alpha
STRM_Reastdead4,"ALPHA TO PAPA BEAR. WE ARE REPORTING FINAL OBJECTIVE SECURED. OVER.",alpha
STRM_Rcallammo,"ALPHA TO BRAVO. REQUESTING AMMO DROP. OVER.",alpha

STRM_Rincoming,"THIS IS BRAVO. COPY THAT. ON OUR WAY, STAY PUT AND SECURE THE AREA. OVER.",bravo
STRM_Runloading,"UNLOADING AMMO BOX. OVER.",bravo
STRM_Rhavefun,"AMMO DROP COMPLETE. HAVE FUN WITH THE AMMUNITIONS. RETURNING TO BASE. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. PROCEED WITH YOUR MISSION. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD. OVER.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. COPY THAT. OVER.",hq
STRM_Rhqreply4,"PAPA BEAR TO ALPHA. EXCELLENT JOB ALPHA BLACK. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"PMC Ranger Action 2",missionname
STRL_Rload,"Rangers Lead The Way!",loadname
