LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE CLEARED AND SECURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE HAVE SECURED SECOND OBJECTIVE. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. THIRD OBJECTIVE UNDER OUR CONTROL. OVER.",alpha
STRM_Reastdead4,"ALPHA TO PAPA BEAR. WE JUST CLEARED THE FOURTH OBJECTIVE. OVER.",alpha
STRM_Rcallext,"ALPHA TO BRAVO. REQUESTING EXTRACTION. OVER.",alpha

STRM_Rlzinsight,"BRAVO TO ALPHA. INSERT LZ IN SIGHT. GET READY FOR FASTROPING. BRAVO OUT.",bravo
STRM_Rcoming,"THIS IS BRAVO. COPY THAT ALPHA. ON OUR WAY. OUT.",bravo
STRM_Rextract,"THIS IS BRAVO, GET READY FOR EXTRACTION. OVER.",bravo
STRM_Rliftoff,"LIFTOFF. GOING HOME. BRAVO OUT.",bravo

STRM_Rcharliego,"HOTEL TO ALPHA. COMMENCING OUR ATTACK. GOOD LUCK. HOTEL OUT.",hotel

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OUT.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD, GOOD WORK. OUT.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. COPY THAT ALPHA. OUT.",hq
STRM_Rhqreply4,"PAPA BEAR TO ALPHA. ACKNOWLEDGED, GOOD JOB. OUT.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. MISSION IS ACCOMPLISHED. OUT.",hq

STRD_Rmissname,"PMC Ranger Shining",missionname
STRL_Rload,"Lipany must go",loadname

start marker name string
STR_START,Start
STR_INSERT,Insert LZ
STR_EXTRACT,Extract LZ
STR_MEET,Meet Hotel

target marker name strings
STR_TARGET1,Capture Lany
STR_TARGET2,Capture Lipany
STR_TARGET3,Capture Okrouhlo
STR_TARGET4,Capture St. Sedlo
