LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Alpha Black to Papa Bear. Tubbergen captured. Over.",alpha
STRM_Reastdead2,"Alpha Black calling Papa Bear. Papa Bear, we have just cleared the fuel depot. Over.",alpha
STRM_Reastdead3,"Papa Bear, this is Alpha Black. Galder is now under NATO control. Over.",alpha
STRM_Reastdead4,"Papa Bear, Alpha One here. The bridge road block has been opened. The bad guys are dead. Over.",alpha
STRM_Rcas,"Alpha to Papa Bear. We see ripe targets near our coordinates. Requesting CAS southeast of Galder. Over.",alpha

STRM_Ra10bound,"You ground-pounders, this is Wonder Warthog One overhead. Ready for attack run. Keep your heads down. Warthog One, out.",a10

STRM_Rhqreply1,"Roger that, Alpha. Affirmative, Tubbergen is ours. Papa Bear out.",hq
STRM_Rhqreply2,"Alpha, we hear you and understand. Good work. Papa Bear out",hq
STRM_Rhqreply3,"Papa Bear to Alpha One. We copy you, Alpha. HQ out.",hq
STRM_Rhqreply4,"Papa Bear to Alpha. Acknowledged. Fine work. HQ out.",hq
STRM_Rmcomplete,"Alpha Black, this is your Papa talking. Your mission is accomplished. Out.",hq
STRM_Rcasonway,"HQ to to Alpha. Roger that, we're dispatching an A-10 Thunderbolt to your area. Out.",hq

STRD_Rmissname,"War Plan Orange",missionname/H14
STRL_Rload,"McKenzie, Regular, at Ummanz Airbase.",loadname

start marker name string
STR_START,Start

target marker name strings
STR_TARGET1,Capture Tubbergen
STR_TARGET2,Clear Fuel Depot
STR_TARGET3,Capture Galder
STR_TARGET4,Neutralize Road Block
