LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcallext,"ALPHA TO BRAVO. READY FOR EXTRACTION. COME TO PICK US UP. OVER.",alpha
STRM_Rcol1dead,"ALPHA TO PAPA BEAR. TARGET IS DEAD. MISSION FAILED. REQUEST PERMISSION RETURN TO BASE. OVER.",alpha
STRM_Rwegothim,"ALPHA BLACK TO PAPA BEAR. WE HAVE SNATCHED THE OBJECTIVE. OVER.",alpha

STRM_Rlzinsight,"BRAVO TO ALPHA. GET READY FOR INSERTION. OVER.",alpha
STRM_Rramp,"RAMP IS OPEN.",alpha
STRM_Rgogogo,"GO GO GO.",alpha
STRM_Rhome,"GOOD LUCK ALPHA. GET THE BASTARD. OVER.",alpha
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. MAKE IT FAST. OVER.",bravo
STRM_Rdustoff,"LIFTOFF.",bravo

STRM_Rdeadreply,"PAPA BEAR TO ALPHA. COPY ALPHA. RETURN TO BASE. OVER.",hq
STRM_Rgoodjob,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. KEEP HIM SECURED. GET TO THE EXTRACT LZ. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME HOME. GOOD JOB OUT THERE. OVER.",hq

STRD_Rmissname,"PMC Ranger Snatch",missionname
STRL_Rload,"Early morning in the airbase...",loadname
