LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rpackage,"ALPHA TO BRAVO. PACKAGE IS SECURED. EXTRACT EXTRACT EXTRACT. OVER.",alpha
STRM_RpackageDead,"ALPHA TO BRAVO. MISSION FAILED, PACKAGE IS DEAD. GET US OUTTA HERE. OVER.",alpha
STRM_Reastdead,"ALPHA TO PAPA BEAR. CONVOY INTERDICTED. OVER.",alpha

STRM_Rlzinsight,"BRAVO TO ALPHA. GET READY FOR FAST ROPING. OVER.",bravo
STRM_Rramp,"RAMP IS OPEN.",bravo
STRM_Rgogogo,"GO GO GO!",bravo
STRM_Rhome,"GOOD LUCK ALPHA. CALL US WHEN YOURE READY. OVER.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo
STRM_Rdustoff,"DUSTOFF.",bravo

STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. HOPE YOU GOT NICE PRESENT FOR US. OVER.",hq

STRD_Rmissname,"PMC Ranger Path",missionname
STRL_Rload,"Getting ready for another daring mission...",loadname
