LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. FUEL DEPOT DESTROYED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. AIRBASE CAPTURED I REPEAT AIRBASE CAPTURED. OVER.",alpha
STRM_Rreinfdead,"ALPHA TO PAPA BEAR. SMALL RUSSIAN REINFORCEMENT ELEMENT HAS BEEN NEUTRALIZED. OVER.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. PROCEED WITH YOUR MISSION. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD AIRBASE UNDER CONTROL. CHECK THE SOUTH GATE FOR POSSIBLE REINFORCEMENTS. OVER.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. ACKNOWLEDGED. MISSION ACCOMPLISHED. OVER.",hq 

STRD_Rmissname,"PMC Ranger Airbase",missionname
STRL_Rload,"Stormy evening on Northern Malden...",loadname
