LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE DESTROYED. OVER.",alpha
STRM_Rcallext,"ALPHA BLACK TO BRAVO BLACK. READY FOR EXTRACTION. COME TO PICK US UP. OVER.",alpha

STRM_Rlzinsight,"THIS IS BRAVO. LZ IN SIGHT. GET READY PEOPLE. OVER.",alpha
STRM_Rramp,"RAMP IS OPEN.",alpha
STRM_Rgogogo,"GO GO GO.",alpha
STRM_Rhome,"GOOD LUCK, GO GET EM BOYS. OVER.",alpha
STRM_Rextract,"THIS IS BRAVO. GET READY FOR EXTRACTION. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. WE COPY THAT, GET OUT OF THERE. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"PMC Ranger Juice",missionname
STRL_Rload,"Bad weather in Malden...",loadname
