LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. ENEMY FORCES HAVE BEEN DEFEATED. OVER.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OUT.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. MISSION IS ACCOMPLISHED. OUT.",hq

STRD_Rmissname,"PMC Kings",missionname
STRL_Rload,"Battle of the armor",loadname

start marker name string
STR_START,Start
