LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Alpha Black to Papa Bear. We've blown the Reds out of Sint-Annen. Objective One complete. Over.",alpha
STRM_Reastdead2,"Papa Bear, this is Alpha Black. Goirle is pretty well cleared. Objective Two complete. Over.",alpha
STRM_Reastdead3,"Alpha One to Papa Bear. Come in, Papa. The town of Best is clear. Objective number three complete. Over.",alpha
STRM_Reastdead4,"Papa Bear, Alpha Black here. The fourth objective point is free of hostile vehicles. Over.",alpha
STRM_Ratbase1,"Papa Bear, Papa Bear, this is Alpha. We've returned to base and are preparing to stand down. Alpha Black out.",alpha

STRM_Rtarget1,"This is team Bravo. Our M1A1s have reached Sint-Annen. Over.",bravo
STRM_Rtarget2,"Bravo Black to Papa Bear and team Alpha. We've reached Goirle. Over.",bravo
STRM_Rtarget3,"Bravo Black here. We've gotten through to Best. Over.",bravo
STRM_Rtarget4,"This is Bravo One. We have broken through to Rozenburg. Over.",bravo

STRM_Rhqreply1,"Roger that, Alpha. We're telling the M1A1s to proceed. Papa Bear out.",hq
STRM_Rhqreply2,"Received and understood, Alpha. Good work. We'll relay the message to the M1A1s. HQ out.",hq
STRM_Rhqreply3,"Copy that, Alpha Black. Abrams platoon is moving out now. Papa Bear out.",hq
STRM_Rhqreply4,"Acknowledged, Alpha. M1A1s are getting clearance to proceed right now. Nice work. HQ out.",hq
STRM_Rmcomplete,"Welcome back, Alpha. Excellent work. Your mission is complete. Papa Bear out.",hq

STRD_Rmissname,"Purple Heart",missionname/H18
STRL_Rload,"Walton, AH-64, at Ummanz Airbase.",loadname

start marker name string
STR_START,Start

target marker name strings
STR_TARGET1,Destroy Vehicles 1
STR_TARGET2,Destroy Vehicles 2
STR_TARGET3,Destroy Vehicles 3
STR_TARGET4,Destroy Vehicles 4
