LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Alpha Black to Papa Bear. Objective one, Rozenburg, is now cleared. Over.",alpha
STRM_Reastdead2,"Papa Bear, Papa Bear, this is Alpha One. Supply convoy now destroyed. Over.",alpha
STRM_Rcallext,"Alpha Black calling Bravo dustoff. We're done here, requesting extract. Over.",alpha

STRM_Rlzinsight,"Bravo pilot here. Alpha, get your men ready for a fast-rope descent to the LZ. Bravo out.",bravo
STRM_Rcoming,"Air team Bravo to Alpha. We copy you, on our way. Out.",bravo
STRM_Rextract,"This is Bravo, we're overhead, get ready for extraction. Over.",bravo
STRM_Rliftoff,"Liftoff. Alpha, we're going home. Bravo out.",bravo

STRM_Rhqreply1,"Papa Bear to Alpha Black. Read you loud and clear. Rozenburg objective complete. Dig in and wait for the convoy. Out.",hq
STRM_Rhqreply2,"Papa Bear to Alpha Black. Copy that, convoy is burnt toast. Now get out of there. Come to Papa. Out.",hq
STRM_Rmcomplete,"Alpha One, this is Papa. Welcome home, you guys are swell. Mission accomplished. Out.",hq

STRD_Rmissname,"Hungry Bear",missionname/H9
STRL_Rload,"Gross, Ranger, at US Army Base.",loadname

start marker name string
STR_START,Start
STR_INSERT,Insert LZ
STR_EXTRACT,Extract LZ

target marker name strings
STR_TARGET1,Ambush Convoy
