LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. BRIDGE HAS BEEN SECURED. SEND IN THE TROOPS. OVER.",alpha
STRM_Rreinfdead,"ALPHA TO PAPA BEAR. RUSSIAN REINFORCEMENTS ARE DEAD. CHARLIE AND DELTA CAN HANDLE IT FROM NOW ON. OVER.",alpha
STRM_Rcallext,"ALPHA TO BRAVO. READY TO GO HOME. COME TO PICK US UP. OVER.",alpha

STRM_Rlzinsight,"BRAVO TO ALPHA. GET READY FOR FAST ROPING. LOWER YOUR GOGGLES. OVER.",bravo
STRM_Rramp,"RAMP OPEN.",bravo
STRM_Rgogogo,"GO GO GO!",bravo
STRM_Rhome,"BRAVO TO ALPHA. GOOD LUCK BOYS. GO GET THEM, WE ARE HEADING HOME. OVER.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo
STRM_Rdustoff,"DUSTOFF.",bravo
STRM_Rcoming,"BRAVO TO ALPHA. ON OUR WAY. HOLD TIGHT. OVER.",bravo

STRM_Rarrived,"DELTA TO ALPHA BLACK. WE ARE TAKING OVER NOW, THANKS FOR CAPTURING THIS BABY FOR US NICE JOB. OVER.",delta

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. KEEP IT SECURE UNTIL THE REINFORCEMENTS ARRIVE. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. CALL YOUR HELO, TIME FOR YOU TO RETURN TO BASE. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME HOME. OVER.",hq

STRD_Rmissname,"PMC Ranger Bridge",missionname
STRL_Rload,"At the newly captured airbase...",loadname
