LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE CLEARED AND SECURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE HAVE SECURED SECOND OBJECTIVE. OVER.",alpha
STRM_Reastdead3,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE THIRD CLEARED AND SECURED. OVER.",alpha
STRM_Reastdead4,"ALPHA TO PAPA BEAR. WE HAVE SECURED FOURTH OBJECTIVE. OVER.",alpha

STRM_Rassault1,"ALPHA TO ALL FORCES. ATTACK THE INTERSECTION, MOVE OUT. OVER.",alpha
STRM_Rassault2,"ALPHA TO ALL FORCES. ATTACK TROSKY NOW. OVER.",alpha

STRM_Rbravogo,"BRAVO TO ALPHA. WILCO. OVER.",bravo
STRM_Rbravogo2,"BRAVO TO ALPHA. HITTING TROSKY, COPY. OVER.",bravo

STRM_Rcharliego,"CHARLIE TO ALPHA. COMMENCING ATTACK. OVER.",charlie
STRM_Rcharliego2,"CHARLIE TO ALPHA. UNDERSTOOD. OVER.",charlie

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OUT.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD, GOOD WORK. OUT.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OUT.",hq
STRM_Rhqreply4,"PAPA BEAR TO ALPHA. UNDERSTOOD, GOOD WORK. OUT.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. MISSION IS ACCOMPLISHED. OUT.",hq

STRD_Rmissname,"PMC Hunters",missionname
STRL_Rload,"Time for you to die",loadname

start marker name string
STR_START,Start
STR_FUP1,FUP #1
STR_FUP1,FUP #2

target marker name strings
STR_TARGET1,Capture intersection
STR_TARGET2,Capture Trosky
STR_TARGET3,Capture houses
STR_TARGET4,Capture Kvilda
