LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rgunshipsgo,"ALPHA BLACK TO CHARLIE BLACK. YOU ARE CLEARED TO ENGAGE, OVER.",alpha
STRM_Rtanksgo,"ALPHA TO BRAVO BLACK. YOU ARE WELCOME TO JOIN THE PARTY. OVER.",alpha
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE CLEARED AND SECURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE HAVE SECURED SECOND OBJECTIVE. OVER.",alpha

STRM_Rrogergunship,"UNDERSTOOD ALPHA. ON OUR WAY. CHARLIE OUT.",gunships
STRM_Rrogertanks,"THIS IS BRAVO. COPY THAT ALPHA, ROLLING IN NOW. OVER.",ustanks

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OUT.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD, GOOD WORK. OUT.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. MISSION IS ACCOMPLISHED. OUT.",hq

STRD_Rmissname,"PMC Airwave",missionname
STRL_Rload,"I see planes",loadname

start marker name string
STR_START,Start

target marker name strings
STR_TARGET1,Capture Airbase
STR_TARGET2,Capture Fuel depot
