LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE CAPTURED. SEND IN THE TROOPS. OVER.",alpha
STRM_Rreinf,"ALPHA TO PAPA BEAR. RUSSIAN COUNTER ATTACK HAS BEEN REPELLED. OVER.",alpha

STRM_Rgunships,"FOXTROT BLACK TO PAPA BEAR. WE HAVE SEVERAL ARMORED CONTACTS APPROACHING THE AIRBASE FROM SOUTH. MUST BE COUNTER ATTACK. ENGAGING. OVER.",foxtrot
STRM_Rtanksgone,"FOXTROT TO PAPA BEAR. THE TANKS ARE WASTED. BUT WE HAVE SOME INFANTRY MOVEMENT TOWARDS THE AIRBASE. OVER.",foxtrot

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. COPY THAT. CHOPPERS ON THEIR WAY. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. UNDERSTOOD. GOOD WORK MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"PMC Ranger Butcher",missionname
STRL_Rload,"Middle of the night in Everon airbase...",loadname
