LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rjoin,"UNITED STATES ARMY. WE ARE HERE TO TAKE YOU HOME. COME WITH ME, NOW.",alpha
STRM_Rcalldelta,"ALPHA BLACK TO DELTA TEAM. WE ARE IN POSITION. START YOUR ASSAULT. OVER.",alpha
STRM_Rcallext,"ALPHA TO GOLF. READY FOR EXTRACTION, GET US OUTTA HERE. OVER.",alpha

STRM_Rlzinsight,"GOLF TO ALPHA. LZ IN SIGHT, GET READY FOR INSERTION. OVER.",alpha
STRM_Rramp,"RAMP IS OPEN.",alpha
STRM_Rgogogo,"GO GO GO.",alpha
STRM_Rhome,"GOOD LUCK ALPHA. BRING HIM HOME. OVER.",alpha
STRM_Rextract,"GOLF TO ALPHA. GET READY FOR EXTRACTION. OVER.",GOLF
STRM_Rdustoff,"LIFTOFF.",GOLF

STRM_Rgethim,"THIS IS DELTA TWO. ALPHA YOU ARE CLEARED TO EVACUATE THE OBJECTIVE. OVER.",delta2

STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. GOOD JOB WELCOME BACK. OVER.",hq

STRD_Rmissname,"PMC Ranger POW",missionname
STRL_Rload,"In the airbase, tension rises...",loadname
