LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Alpha Black to Papa Bear. The main US Base area has been swept clear of the enemy. Over.",alpha

STRM_Rassault,"Hey, Gordon, do you copy? We have a Russian helo approaching from the south. You'd better get back to base, pronto. Over.",bravo

STRM_Rhqreply1,"Papa Bear to Alpha Black. Roger that. Out.",hq
STRM_Rmcomplete,"Alpha Black, this is Papa Bear. Welcome back. Mission accomplished.",hq

STRD_Rmissname,"Strength Through Joy",missionname/H1
STRL_Rload,"McKenzie, Regular, at Vaals.",loadname

start marker name string
STR_START,Start
