LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"1-1-A to HQ, enemy assault defeated. Out.",a1
STRM_Rass1rep,"1-1-A to HQ, we have enemy soldiers approaching, we are under attack. Stay sharp. Over.",a1
STRM_Rass2rep,"1-2-A to HQ, badguys on our way, we are under attack. Out.",a2

STRM_Rmcomplete,"HQ to 1-1-A. Understood, good work. Out.",hq

STRD_Rmissname,"PMC Night Shift",missionname
STRL_Rload,"Silent Night",loadname

start marker name string
STR_START,Start
