LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Papa Bear, this is Alpha One. Objective One cleared. Wolsum bridge is open. Over.",alpha
STRM_Reastdead2,"Alpha Black to Papa Bear. We've taken objective number two, the town of Wolsum. Over.",alpha
STRM_Reastdead3,"Papa Bear, Alpha One here. We've taken the Castle hill, and found some scotch. Over.",alpha
STRM_Rcallext,"Alpha One to Bravo flight. Requesting immediate extraction. Over.",alpha

STRM_Rlzinsight,"Alpha team, get ready for a fast-rope insert. We're coming up on the LZ, looks cold. Bravo out.",bravo
STRM_Rcoming,"Copy that, Alpha One. We're not very far, be there soon. Bravo out.",bravo
STRM_Rextract,"This is Bravo dustoff. We're right overhead. Get ready for extraction. Over.",bravo
STRM_Rliftoff,"Everyone on board? We're airborne. Heading home. Bravo out.",bravo

STRM_Rhqreply1,"Papa Bear to Alpha Black. Roger that. Out.",hq
STRM_Rhqreply2,"Roger that, Alpha. Good work. Keep moving. Out. Papa Bear out.",hq
STRM_Rhqreply3,"Alpha, we copy you. Nicely done. HQ out.",hq
STRM_Rmcomplete,"Alpha team, excellent work out there. Nice to see you made it back. Mission accomplished. Out.",hq

STRD_Rmissname,"Dark Crown",missionname/H21
STRL_Rload,"Gross, Ranger, at Ummanz Airbase.",loadname

start marker name string
STR_START,Start
STR_INSERT,Insert LZ
STR_EXTRACT,Extract LZ

target marker name strings
STR_TARGET1,Clear Bridge
STR_TARGET2,Neutralize Wolsum
STR_TARGET3,Clear Castle
