LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Alpha Black calling Papa Bear. The US Army Base is under NATO control once more. Objective One complete. Over.",alpha
STRM_Rreinf,"Alpha Black to Papa Bear. We've swept the surrounding area; it looks secure. Request you send in the reinforcements. Over",alpha
STRM_Rallclear,"Papa Bear, this is Alpha Black. The US Base is firmly under our control. We are done here. Alpha out.",alpha

STRM_Rlzinsight,"Bravo to team Alpha. The LZ's in sight, appears cold. Prepare to descend by fast roping. Good luck. Bravo out.",bravo
STRM_Rreinfhere,"Alpha leader, this is Charlie squad. Be advised, we're here to help you secure the base. Out.",charlie

STRM_Rhqreply1,"Alpha Black, this is Papa Bear. Roger that. Sweep the area and use your radio to call in the reinforcements when you think it's safe. Out.",hq
STRM_Rhqreply2,"Papa Bear to Alpha team. Received and acknowledged. Reinforcements on the way. Out.",hq
STRM_Rmcomplete,"Papa Bear calling Alpha. Black. Your mission is accomplished. That was an important job. Nice work. Out.",hq

STRD_Rmissname,"Hornet Sting",missionname/H8
STRL_Rload,"Gross, Ranger, off SW Velp.",loadname

start marker name string
STR_START,Start
STR_INSERT,Insert LZ

target marker name strings
STR_TARGET1,Recapture Base
