LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Alpha Black to HQ. All vehicles east of Maarn are smoking hulks. Objective One complete. Over.",alpha
STRM_Reastdead2,"Papa Bear, this is Alpha Black. Target Two is done. Enemy AFVs and trucks at Camerig are destroyed. Over.",alpha
STRM_Reastdead3,"Papa Bear, Alpha Black here. The Reds at objective three, east of the old Nazi resort, are taking a permanent vacation from life. Over.",alpha
STRM_Reastdead4,"Alpha to Papa Bear. We just destroyed the vehicle laager at the fourth objective. Over.",alpha
STRM_Ratbase1,"Papa Bear, Papa Bear, this is Alpha. Be advised, we've returned to base and are standing down. Over.",alpha

STRM_Rhqreply1,"Affirmative, Alpha Black, we see a lot of smoke columns in your direction. Nice. HQ out.",hq
STRM_Rhqreply2,"Alpha Black, we read you. Understood. Fine work. Papa Bear out.",hq
STRM_Rhqreply3,"Papa Bear to Alpha One. Copy that, Alpha. Stay on them. Out.",hq
STRM_Rhqreply4,"This is Papa Bear, we hear you Alpha. Acknowledged, that was an important bunch. There was a regimental command vehicle among them. Good job. Out.",hq
STRM_Rmcomplete,"We see you, Alpha. Congratulations on your safe return, and thanks. Mission accomplished. Papa Bear out.",hq

STRD_Rmissname,"Blue Eagle",missionname/H17
STRL_Rload,"Walton, AH-64, at Ummanz Airbase.",loadname

start marker name string
STR_START,Start

target marker name strings
STR_TARGET1,Destroy Vehicles 1
STR_TARGET2,Destroy Vehicles 2
STR_TARGET3,Destroy Vehicles 3
STR_TARGET4,Destroy Vehicles 4
