LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"Alpha Black to Papa Bear. Objective One, Colmont, is pretty well wrecked. Over.",alpha
STRM_Reastdead2,"Papa Bear, Papa Bear, this is Alpha Black. The outpost, Objective Two, is clear. Over.",alpha
STRM_Reastdead3,"Alpha Black to Papa Bear. The intersection at Gotcrosse is our bitch. Objective three complete. Over.",alpha
STRM_Reastdead4,"Alpha One calling Papa Bear. Fourth objective complete. Fortmond is a Red cemetary now. Over.",alpha
STRM_Rcallext,"Alpha One to Bravo airlift. Requesting extraction. Over.",alpha

STRM_Rlzinsight,"Team Alpha, I have the LZ in sight. Get ready for a fast rope insert. Good luck. Bravo out.",bravo
STRM_Rcoming,"Bravo here. Copy that Alpha. Dustoff on way. Out.",bravo
STRM_Rextract,"Alpha One, this is Bravo; we're overhead. Prepare your men for extraction. Over.",bravo
STRM_Rliftoff,"Okay, I'm putting the nose down and making like a rabbit. Next stop, home. Bravo out.",bravo

STRM_Rhqreply1,"Roger that, Alpha Black. Plant a couple of mines in case Mr Armor shows up to investigate. Papa Bear out.",hq
STRM_Rhqreply2,"Understood, Alpha One. Good work. Stay light on your feet. HQ out.",hq
STRM_Rhqreply3,"Papa Bear to Alpha. We copy you, Alpha. Stay out of the way of Ivan's armor. Out.",hq
STRM_Rhqreply4,"Alpha Black, this is Papa Bear. Acknowledged. Good job. HQ out.",hq
STRM_Rmcomplete,"We read you, Alpha Black. Welcome back. Your mission is accomplished, all raid objectives complete. Papa Bear out.",hq

STRD_Rmissname,"LZ X-Ray",missionname/H20
STRL_Rload,"Gross, Ranger, at Ummanz Airbase.",loadname

start marker name string
STR_START,Start
STR_INSERT, LZ X-Ray
STR_EXTRACT,Extract LZ

target marker name strings
STR_TARGET1,Clear Colmont
STR_TARGET2,Destroy Outpost
STR_TARGET3,Clear Gotcrosse
STR_TARGET4,Neutralize Fortmond
