LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. BASE HAS BEEN SECURED, SEND IN THE REINFORCEMENTS. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE HAVE CLEARED THE GATE. OVER.",alpha

STRM_Rgoahead,"THIS IS BRAVO BLACK. WE ARE ON THE OBJECTIVE AND TAKING CONTROL. OVER.",bravo

STRM_Rlzinsight,"LZ IN SIGHT.",helo
STRM_Rramp,"RAMP IS OPEN.",helo
STRM_Rgogogo,"GO GO GO!",helo
STRM_Rhome,"GOOD LUCK ALPHA. WE ARE HEADING HOME. OVER.",helo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. REINFORCEMENTS ON WAY. HOLD TIGHT. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. COPY THAT. GOOD WORK. YOUR MISSION IS ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"PMC Ranger Invasion",missionname
STRL_Rload,"At the beach in Kolgujev",loadname
